NPs,Cellline,coresize,hydrosize,surfcharge,surfarea,Expotime,dosage,Hsf,Ec,Ev,MeO,enthalpy,ratio,e,esum,esumbyo,MW,NMetal,NOxygen,ox,Celltype,toxic,n_replicates
Al2O3,HCMEC,39.7,267.0,36.3,64.7,24,0.001,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,24,0.01,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,24,0.1,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,24,1.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,24,5.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,24,10.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,24,20.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,24,50.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,24,100.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,12,0.001,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,12,0.01,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,12,0.1,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,12,1.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,12,5.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,12,10.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,12,20.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,12,50.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
Al2O3,HCMEC,39.7,267.0,36.3,64.7,12,100.0,-17.345,-1.51,-9.81,5.67,1187.83,5.556,1.61,3.22,1.073,101.96,2,3,3,Normal,0,1
CuO,HCMEC,46.3,239.0,42.8,24.1,24,0.001,-1.609,-5.17,-6.51,5.87,713.74,2.74,1.9,1.9,1.9,79.546,1,1,2,Normal,0,1
CuO,HCMEC,46.3,239.0,42.8,24.1,24,0.01,-1.609,-5.17,-6.51,5.87,713.74,2.74,1.9,1.9,1.9,79.546,1,1,2,Normal,0,1
CuO,HCMEC,46.3,239.0,42.8,24.1,24,0.1,-1.609,-5.17,-6.51,5.87,713.74,2.74,1.9,1.9,1.9,79.546,1,1,2,Normal,0,1
CuO,HCMEC,46.3,239.0,42.8,24.1,24,1.0,-1.609,-5.17,-6.51,5.87,713.74,2.74,1.9,1.9,1.9,79.546,1,1,2,Normal,0,1
CuO,HCMEC,46.3,239.0,42.8,24.1,24,5.0,-1.609,-5.17,-6.51,5.87,713.74,2.74,1.9,1.9,1.9,79.546,1,1,2,Normal,0,1
CuO,HCMEC,46.3,239.0,42.8,24.1,24,10.0,-1.609,-5.17,-6.51,5.87,713.74,2.74,1.9,1.9,1.9,79.546,1,1,2,Normal,1,1
